"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"104-LA4-G1","Obligatoria","Ecuaciones Diferenciales","1","A(2014)","4","4","Regular","8","MEFI","Felipe de Jesús","Rosado Vázquez","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","35","","","35","07:30 - 09:30","D2","08:00 - 10:00","H7","","","","","","","","","","",""
"106-LEM3-Acompañamiento","Obligatoria","Informática Educativa","","E(2013)","3","2","Acompañamiento","8","MEFI","Landy Elena","Sosa Moguel","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","10","","10","13:00 - 15:00","CC6","","","","","","","","","","","","",""
"107-LEM7","Obligatoria","Introducción a la Investigación en Matemática Educativa","","E(2013)","7","4","Regular / Acompañamiento","8","MEFI","Eddie de Jesús","Aparicio Landa","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","15","","15","","","17:30 - 19:30","C3","","","","","17:30 - 19:30","F1","","","","",""
"108-LEM6-G1","Obligatoria","Laboratorio Didáctico","1","E(2013)","6","8","Regular","8","MEFI","Eddie de Jesús","Aparicio Landa","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","15","","15","15:00 - 17:00","C7","12:00 - 14:00","H7","","","17:00 - 19:00","C8","15:30 - 17:30","C6","","","","",""
"108-LEM6-G2","Obligatoria","Laboratorio Didáctico","2","E(2013)","6","8","Regular","8","MEFI","Landy Elena","Sosa Moguel","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","15","","15","15:00 - 17:00","H7","12:00 - 14:00","C2","","","17:00 - 19:00","C2","15:30 - 17:30","H4","","","","",""
"110-LEM2","Obligatoria","Lectura y Redacción Técnica","","E(2013)","2","2","Regular","6","MEFI","Landy Elena","Sosa Moguel","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","35","","35","","","10:00 - 12:00","C7","","","","","","","","","","",""
"111-LM8","Obligatoria","Modelación Matemática","","M(2011)","8","4.5","Ordinario","9","MEYA","Eric José","Ávila Vales","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","","25","25","","","16:30 - 18:00","C6","16:30 - 18:00","C6","16:30 - 18:00","C9","","","","","","",""
"112-LEM6","Obligatoria","Teorías en Matemática Educativa","","E(2013)","6","4","Regular","8","MEFI","Landy Elena","Sosa Moguel","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","25","","25","","","17:30 - 19:30","C7","17:30 - 19:30","C2","","","","","","","","",""
"113-LEM6-G2+LEM7-G2+LEM8-G2","Optativa","Reconceptualización del Saber Matemático Escolar","","E(2013)","6","5","Regular","10","MEFI","Eddie de Jesús/Landy Elena"," Aparicio Landa/Sosa Moguel","Ecuaciones Diferenciales, Análisis y Enseñanza de las Matemáticas","","","","","25","","25","","","14:00 - 15:30","C2","13:30 - 15:30","C7","13:30 - 15:00","H8","","","","","","",""
"114-LA7-Acompañamiento","Obligatoria","Análisis de Supervivencia","","A(2014)","7","1.5","Acompañamiento","5","MEFI","José Luis","Batún Cutz","ESTADÍSTICA","","","","10","","","10","","","","","","","","","11:30 - 13:00","CC2","","","","",""
"115-LA7-Acompañamiento","Obligatoria","Cálculo Actuarial para el Seguro de No Vida","","A(2014)","7","2.5","Acompañamiento","9","MEFI","María Auxilio Lucía","Chan García","ESTADÍSTICA","","","","10","","","10","","","","","","","09:00 - 11:30","H8","","","","","","",""
"116-LA5-Acompañamiento","Obligatoria","Cálculo Actuarial para el Seguro de Vida I","","A(2014)","5","2","Acompañamiento","8","MEFI","Eduardo Camilo Carlos","Hernández García","ESTADÍSTICA","","","","15","","","15","11:00 - 13:00","F1","","","","","","","","","","","","",""
"117-LA6-G2","Obligatoria","Cálculo Actuarial para el Seguro de Vida II","2","A(2014)","6","4","Regular","8","MEFI","María Auxilio Lucía","Chan García","Estadística","","","","25","","","25","","","","","15:00 - 17:00","CC3","16:00 - 18:00","CC4","","","","","","",""
"117-LA6-G1","Obligatoria","Cálculo Actuarial para el Seguro de Vida II","1","A(2014)","6","4","Regular","8","MEFI","Eduardo Camilo Carlos","Hernández García","Estadística","","","","25","","","25","","","","","15:00 - 17:00","CC1","16:00 - 18:00","CC1","","","","","","",""
"119-LA1-Acompañamiento","Obligatoria","Contabilidad Financiera","","A(2014)","1","2.5","Acompañamiento","7","MEFI","Jesús","Burgos Bastarrachea","ESTADÍSTICA","","","","20","","","20","15:00 - 17:30","D3","","","","","","","","","","","","",""
"120-LA6","Obligatoria","Demografía","","A(2014)","6","2","Regular","4","MEFI","Jesús Enrique","López Flores","Estadística","","","","43","","","43","","","15:00 - 17:00","H6","","","","","","","","","","",""
"121-LA5-Acompañamiento","Obligatoria","Estadística No Paramétrica","","A(2014)","5","1.5","Acompañamiento","6","MEFI","Salvador","Medina Peralta","ESTADÍSTICA","","","","15","","","15","","","08:00 - 09:30","C3","","","","","","","","","","",""
"122-LA6-G1","Obligatoria","Herramientas Computacionales","1","A(2014)","6","3","Regular","6","mefi","Jorge Miguel","Guzmán Arjona","Estadística","","","","25","","","25","","","17:00 - 18:30","CC3","17:00 - 18:30","CC8","","","","","","","","",""
"122-LA6-G2","Obligatoria","Herramientas Computacionales","2","A(2014)","6","3","Regular","6","MEFI","Eduardo Camilo Carlos","Hernández García","Estadística","","","","25","","","25","","","17:00 - 18:30","CC8","17:00 - 18:30","CC1","","","","","","","","",""
"124-LA4-G1","Obligatoria","Inferencia Estadística","1","A(2014)","4","5","Regular","8","MEFI","Eduardo Camilo Carlos","Hernández García","Estadística","","","","40","","","40","","","10:00 - 12:00","H8","10:00 - 11:00","H3","10:00 - 12:00","C4","","","","","","",""
"124-LA4-G2+LA4-G3","Obligatoria","Inferencia Estadística","2","A(2014)","4","5","Regular","8","MEFI","Felipe Reyes","Tuz Poot","Estadística","","","","40","","","40","","","10:00 - 12:00","C1","10:00 - 11:00","C7","10:00 - 12:00","D3","","","","","","",""
"126-LEM6","Obligatoria","Inferencia Estadística","","E(2013)","6","4","Regular","8","MEFI","Rubén Alejandro","Cool Padilla","Estadística","","","","","25","","25","17:30 - 19:30","H7","","","","","","","17:30 - 19:30","H1","","","","",""
"127-LCC6","Obligatoria","Inferencia Estadística","","CC(2016)","6","5","Regular","8","MEFI","Salvador","Medina Peralta","Estadística","","30","","","","","30","","","15:00 - 17:00","C7","","","15:00 - 17:00","H2","18:00 - 19:00","C7","","","","",""
"128-LIS5-Acompañamiento","Obligatoria","Inferencia Estadística","","IS(2016)","5","2.5","Acompañamiento","7","MEFI","Salvador","Medina Peralta","ESTADÍSTICA","","","15","","","","15","10:30 - 13:00","H6","","","","","","","","","","","","",""
"129-LA2-G1","Obligatoria","Introducción a la Admon. de Riesgos","1","A(2014)","2","2","Regular","4","MEFI","María Auxilio Lucía","Chan García","Estadística","","","","43","","","43","","","08:30 - 10:30","D2","","","","","","","","","","",""
"129-LA2-G2","Obligatoria","Introducción a la Admon. de Riesgos","2","A(2014)","2","2","Regular","4","mefi","María Auxilio Lucía","Chan García","Estadística","","","","43","","","43","10:30 - 12:30","H3","","","","","","","","","","","","",""
"129-LA2-G3","Obligatoria","Introducción a la Admon. de Riesgos","3","A(2014)","2","2","Regular","4","MEFI","Mariana","Escalante Barrera","Estadística","","","","43","","","43","","","08:30 - 10:30","C10","","","","","","","","","","",""
"132-LA6","Obligatoria","Introducción a la Seguridad Social","","A(2014)","6","1","Regular","4","MEFI","Jesús Enrique","López Flores","Estadística","","","","40","","","40","","","","","","","","","14:30 - 15:30","D4","","","","",""
"133-LA5-Acompañamiento","Obligatoria","Investigación de Operaciones","","A(2014)","5","1.5","Acompañamiento","6","MEFI","Ángel Adrián","Bacelis Jiménez","ESTADÍSTICA","","","","15","","","15","","","10:00 - 11:30","C6","","","","","","","","","","",""
"134-LA4-G1","Obligatoria","Macroeconomía","1","A(2014)","4","3","Regular","5","MEFI","Daniel Abraham","Adrián Osorio","Estadística","","","","35","","","35","","","12:00 - 13:30","C1","","","07:30 - 09:00","H3","","","","","","",""
"134-LA4-G2","Obligatoria","Macroeconomía","2","A(2014)","4","3","Regular","5","MEFI","Daniel Abraham","Adrián Osorio","Estadística","","","","35","","","35","","","","","","","12:00 - 13:30","C10","10:30 - 12:00","C8","","","","",""
"134-LA4-G3","Obligatoria","Macroeconomía","3","A(2014)","4","3","Regular","5","MEFI","Daniel Abraham","Adrián Osorio","Estadística","","","","35","","","35","10:30 - 12:00","H7","","","","","","","09:00 - 10:30","H8","","","","",""
"137-LA3-Acompañamiento","Obligatoria","Matemáticas Financieras","","A(2014)","3","2","Acompañamiento","6","MEFI","Mariana","Escalante Barrera","ESTADÍSTICA","","","","15","","","15","","","","","13:30 - 15:30","H7","","","","","","","","",""
"138-LA3-Acompañamiento","Obligatoria","Microeconomia","","A(2014)","3","1.5","Acompañamiento","5","MEFI","Daniel Abraham","Adrián Osorio","ESTADÍSTICA","","","","20","","","20","13:00 - 14:30","C8","","","","","","","","","","","","",""
"139-LA8","Obligatoria","Operación del Seguro","","A(2014)","8","3","Regular","6","MEFI","María Auxilio Lucía","Chan García","Estadística","","","","42","","","42","17:00 - 18:30","D4","15:00 - 16:30","H7","","","","","","","","","","",""
"140-","Obligatoria","Prácticas Profesionales","","A(2014)","8","1.5","Regular/Acompañamiento","8","MEFI","María Auxilio Lucía","Chan García","ESTADÍSTICA","","","","50","","","50","","","","","11:00 - 12:30","Cubículo","","","","","","","","",""
"141-LIS4-G3","Obligatoria","Probabilidad","3","IS(2016)","4","4.5","Regular","7","MEFI","María Dolores","Matus Basto","Estadística","","","35","","","","35","07:30 - 09:00","C10","07:30 - 09:00","H8","","","","","07:30 - 09:00","H6","","","","",""
"141-LIS4-G1","Obligatoria","Probabilidad","1","IS(2016)","4","4.5","Regular","7","MEFI","Felipe Reyes","Tuz Poot","Estadística","","","35","","","","35","13:00 - 14:30","C6","","","07:30 - 09:00","D4","08:30 - 10:00","C8","","","","","","",""
"141-LIS4-G2","Obligatoria","Probabilidad","2","IS(2016)","4","4.5","Regular","7","MEFI","Felipe Reyes","Tuz Poot","Estadística","","","35","","","","35","07:30 - 09:00","C6","07:30 - 09:00","C8","","","","","07:30 - 09:00","C7","","","","",""
"144-LIC4","Obligatoria","Probabilidad","","IC(2013)","4","5","Regular","10","MEFI","María Dolores","Matus Basto","Estadística","45","","","","","","45","","","","","09:00 - 11:00","H2","07:30 - 09:00","C10","09:30 - 11:00","H6","","","","",""
"145-LM4","Obligatoria","Probabilidad","","M(2011)-M(2024)","4","5","Ordinario/Regular","10","MEYA-MEFI","Adrián Alberto","Ayora Quintal","Estadística","","","","","","31","31","11:00 - 13:00","C7","","","07:30 - 09:00","C7","","","10:30 - 12:00","D3","","","","",""
"146-LEM5-Acompañamiento","Obligatoria","Probabilidad","","E(2013)","5","2.5","Acompañamiento","10","MEFI","Rubén Alejandro","Cool Padilla","ESTADÍSTICA","","","","","10","","10","","","","","","","","","09:30 - 12:00","C3","","","","",""
"147-LCC5-Acompañamiento","Obligatoria","Probabilidad","","CC(2016)","5","2.5","Acompañamiento","8","MEFI","Rubén Alejandro","Cool Padilla","ESTADÍSTICA","","15","","","","","15","","","09:00 - 11:30","D1","","","","","","","","","","",""
"148-LA3-Acompañamiento","Obligatoria","Probabilidad I","","A(2014)","3","2.5","Acompañamiento","8","MEFI","Jesús Enrique","López Flores","ESTADÍSTICA","","","","20","","","20","","","","","","","14:30 - 17:00","C10","","","","","","",""
"149-LA4-G1","Obligatoria","Probabilidad II","1","A(2014)","4","5","Regular","8","MEFI","Jorge Miguel","Guzmán Arjona","Estadística","","","","43","","","43","12:00 - 13:30","D1","","","07:30 - 09:30","H1","","","07:30 - 09:00","D1","","","","",""
"149-LA4-G2+LA4-G3","Obligatoria","Probabilidad II","2","A(2014)","4","5","Regular","8","MEFI","Jesús Enrique","López Flores","Estadística","","","","43","","","43","12:00 - 13:30","H1","","","07:30 - 09:30","H7","","","07:30 - 09:00","H8","","","","",""
"151-LA5-Acompañamiento","Obligatoria","Procesos Estocásticos","","A(2014)","5","5","Regular/Acompañamiento","8","MEFI","Henry Gaspar","Pantí Trejo","ESTADÍSTICA","","","","20","","","20","15:00 - 17:00","C4","13:30 - 15:00","C4","","","13:30 - 15:00","C9","","","","","","",""
"152-LA7-Acompañamiento","Obligatoria","Productos Derivados","","A(2014)","7","1.5","Acompañamiento","5","MEFI","Jorge Miguel","Guzmán Arjona","ESTADÍSTICA","","","","10","","","10","10:00 - 11:30","C1","","","","","","","","","","","","",""
"153-LA8","Obligatoria","Profesionalismo","","A(2014)","8","1","Regular","6","MEFI","Eduardo Camilo Carlos","Hernández García","Estadística","","","","34","","","34","","","","","","","","","16:30 - 17:30","C4","","","","",""
"155-LA8","Obligatoria","Series de Tiempo","","A(2014)","8","3","Regular","6","MEFI","José Luis","Batún Cutz","Estadística","","","","40","","","40","","","","","","","17:00 - 18:30","CC8","15:00 - 16:30","CC4","","","","",""
"156-","Obligatoria","Servicio Social","","A(2014)","8","1.5","Regular","12","MEFI","María Auxilio Lucía","Chan García","ESTADÍSTICA","","","","45","","","45","","","","","","","13:30 - 15:00","Cubículo","","","","","","",""
"157-LA2","Obligatoria","Sistemas Financieros","1","A(2014)","2","2","Regular","4","MEFI","Jesús","Burgos Bastarrachea","Estadística","","","","43","","","43","","Asíncrona","","","","","","","","","","","","",""
"157-LA2","Obligatoria","Sistemas Financieros","2","A(2014)","2","2","Regular","4","MEFI","Jesús","Burgos Bastarrachea","Estadística","","","","43","","","43","","Asíncrona","","","","","","","","","","","","",""
"157-LA2","Obligatoria","Sistemas Financieros","3","A(2014)","2","2","Regular","4","MEFI","Jesús","Burgos Bastarrachea","Estadística","","","","43","","","43","","Asíncrona","","","","","","","","","","","","",""
"160-LA8","Obligatoria","Técnicas de Muestreo","","A(2014)","8","3","Regular","4","MEFI","Rubén Alejandro","Cool Padilla","Estadística","","","","44","","","44","","","17:00 - 18:30","H1","17:00 - 18:30","D1","","","","","","","","",""
"161-LA4-G1","Obligatoria","Teoría del Seguro","1","A(2014)","4","3","Regular","4","MEFI","Mariana","Escalante Barrera","Estadística","","","","30","","","30","","","","","","","12:00 - 13:30","D1","10:00 - 11:30","C7","","","","",""
"161-LA4-G2+LA4-G3","Obligatoria","Teoría del Seguro","2","A(2014)","4","3","Regular","4","MEFI","Mariana","Escalante Barrera","Estadística","","","","30","","","30","","","12:00 - 13:30","C3","","","","","12:00 - 13:30","C4","","","","",""
"163-LA4-G1","Obligatoria","Valuación de Activos Financieros","1","A(2014)","4","2.5","Regular","5","MEFI","Mariana","Escalante Barrera","Estadística","","","","30","","","30","09:30 - 12:00","C9","","","","","","","","","","","","",""
"163-LA4-G2+LA4-G3","Obligatoria","Valuación de Activos Financieros","2","A(2014)","4","2.5","Regular","5","MEFI","Mariana","Escalante Barrera","Estadística","","","","30","","","30","","","","","","","07:30 - 10:00","H7","","","","","","",""
"165-LA6-G1+LA8-G1","Optativa","Costos y Análisis Presupuestal","","A(2014)","6","4","Regular","7","MEFI","Luis Armando","Luna Gamboa","Estadística","","","","20","","","20","","","13:00 - 15:00","CC5","","","13:00 - 15:00","CC7","","","","","","",""
"166-LA6+LEM7+LEM8+LM6-G2+LM8-G2","Optativa","Estadística Bayesiana y Teoría de Decisiones","","A(2014)-M(2011)-E(2013)","6,6,7","4","Regular","8","MEFI","Jorge Armando","Argáez Sosa","Estadística","","","","25","5","5","35","15:00 - 17:00","C6","","","","","","","15:30 - 17:30","D3","","","","",""
"167-LA6-G2+LA8-G2","Optativa","Finanzas Corporativas","","A(2014)","6","4","Regular","7","MEFI","Luis Armando","Luna Gamboa","Estadística","","","","25","","","25","13:00 - 15:00","CC1","","","13:00 - 15:00","CC3","","","","","","","","",""
"168-LA8","Optativa","Inteligencia de Negocios para la toma de decisiones ","","A(2014)","7","4","Regular","8","MEFI","Jesús Enrique","López Flores","Estadística","","","","25","","","25","15:00 - 17:00","CC8","","","15:00 - 17:00","CC8","","","","","","","","",""
"169-LM6+LM8","Optativa","Métodos Estadísticos para Machine Learning","","M(2011)","6","4.5","Ordinario","9","MEYA","José Luis","Batún Cutz","Estadística","","","","","","15","15","","","15:00 - 16:30","CC5","18:00 - 19:30","CC7","15:00 - 16:30","CC7","","","","","","",""
"170-LA8","Optativa","Storytelling con Datos","","A(2014)","7","4","Regular","8","MEFI","Jorge Miguel","Guzmán Arjona","Estadística","","","","20","","","20","","","","","","","15:00 - 17:00","CC6","13:00 - 15:00","CC2","","","","",""
"173-MEFI1-G2","Obligatoria","Geometría Analítica I","","MEFI","1","4","Regular/Acompañamiento","8","MEFI","Miguel Ángel","Can Ek","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","","40","13:30 - 15:30","H1","","","","","13:30 - 15:30","C8","","","","","","",""
"173-MEFI1-G1","Obligatoria","Geometría Analítica I","","MEFI","1","4","Regular","8","MEFI","Pablo Agustín","Vázquez Montejo","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","","40","13:30 - 15:30","H8","","","","","13:30 - 15:30","C4","","","","","","",""
"175-LEM2","Obligatoria","Geometría Analítica II","","E(2013)","2","4","Regular","8","MEFI","Juan Pablo","Navarrete Carrillo","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","40","","40","07:30 - 09:30","D1","","","","","07:30 - 09:30","C4","","","","","","",""
"176-LM4","Obligatoria","Geometría Diferencial","","M(2024)","4","4.5","Regular","8","MEFI 2","Juan Pablo","Navarrete Carrillo","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","20","20","","","12:00 - 13:30","H2","","","12:00 - 13:30","H2","12:00 - 13:30","D2","","","","",""
"177-LEM1-Acompañamiento","Obligatoria","Geometría Euclidiana","","E(2013)","1","2","Acompañamiento","8","MEFI","María del Pilar","Rosado Ocaña","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","10","","10","","","12:00 - 14:00","H3","","","","","","","","","","",""
"178-LM8","Obligatoria","Topología","","M(2011)","8","4.5","Ordinario","9","MEYA","Waldemar del Jesús","Barrera Vargas","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","20","20","","","13:30 - 15:00","C10","","","18:00 - 19:30","D2","14:00 - 15:30","H4","","","","",""
"179-LM6-G1+LM8-G1","Optativa","Cálculo en Variedades","","M(2011)","6","4.5","Ordinario","9","MEYA","José Matías","Navarro Soza","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","30","30","15:30 - 17:00","C9","","","15:00 - 16:30","C10","","","16:00 - 17:30","H2","","","","",""
"180-LM4-G4","Optativa","Sistemas Dinámicos Discretos","","M(2011)-M(2024)","4","4.5","Ordinario","9","MEYA","Waldemar del Jesús","Barrera Vargas","Geometría Diferencial, Sistemas Dinámicos y Aplicaciones","","","","","","30","30","07:30 - 09:00","C1","10:30 - 12:00","H7","","","10:30 - 12:00","C10","","","","","","",""
"181-LIS8-G1","Obligatoria","Administración de Proyectos I","1","IS(2016)","8","4.5","Regular","7","MEFI","Julio César","Díaz Mendoza","Ingeniería de Software/Tecn.para la Formación en IS","","","35","","","","35","","","14:00 - 15:30","H8","15:30 - 17:00","H8","12:00 - 13:30","D3","","","","","","",""
"181-LIS8-G2","Obligatoria","Administración de Proyectos I","2","IS(2016)","8","4.5","Regular","7","MEFI","Carlos Benito","Mojica Ruíz","Ingeniería de Software/Tecn.para la Formación en IS","","","35","","","","35","17:00 - 18:30","C8","19:00 - 20:30","H2","","","","","19:00 - 20:30","D3","","","","",""
"183-LCC6","Obligatoria","Análisis y Diseño de Software","","CC(2016)","6","4.5","Regular","7","MEFI","María Enriqueta","Castellanos Bolaños","Ingeniería de Software/Tecn.para la Formación en IS","","30","","","","","30","12:00 - 13:30","H7","12:00 - 13:30","CC4","","","","","16:30 - 18:00","CC8","","","","",""
"184-LIS5-Acompañamiento","Obligatoria","Arquitecturas de Software","","IS(2016)","5","2.5","Acompañamiento","7","MEFI","Víctor Hugo","Menéndez Domínguez","Ingeniería de Software/Tecn.para la Formación en IS","","","10","","","","10","","","","","","","","","11:00 - 13:30","CC6","","","","",""
"185-LIS6-G1","Obligatoria","Aseguramiento de la calidad del Software","1","IS(2016)","6","4.5","Regular","7","MEFI","Antonio Armando","Aguileta Güemez","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","12:00 - 13:30","D2","13:30 - 15:00","C9","","","12:00 - 13:30","C4","","","","","","",""
"185-LIS6-G2","Obligatoria","Aseguramiento de la calidad del Software","2","IS(2016)","6","4.5","Regular","7","MEFI","Edwin Jesús","León Bojórquez","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","12:00 - 13:30","H2","13:30 - 15:00","C7","","","12:00 - 13:30","H7","","","","","","",""
"187-LIS5-Acompañamiento","Obligatoria","Construcción de Software","","IS(2016)","5","2.5","Acompañamiento","7","MEFI","Edwin Jesús","León Bojórquez","Ingeniería de Software/Tecn.para la Formación en IS","","","15","","","","15","","","","","","","","","07:30 - 10:00","D4","","","","",""
"188-LIS5-Acompañamiento","Obligatoria","Desarrollo de Aplicaciones Web","","IS(2016)","5","2.5","Acompañamiento","7","MEFI","María Enriqueta","Castellanos Bolaños","Ingeniería de Software/Tecn.para la Formación en IS","","","15","","","","15","","","","","","","07:30 - 10:00","CC2","","","","","","",""
"190-LIC4","Obligatoria","Desarrollo de Software a Pequeña Escala","","IC(2013)","4","4.5","Regular","8","MEFI","Daniel","G. Cantón Puerto","Ingeniería de Software/Tecn.para la Formación en IS","36","","","","","","36","09:30 - 11:00","C7","07:30 - 09:00","CC3","","","09:00 - 10:30","C10","","","","","","",""
"191-LIS5-Acompañamiento","Obligatoria","Diseño de Bases de Datos","","IS(2016)","5","2.5","Acompañamiento","7","MEFI","Julio César","Díaz Mendoza","Ingeniería de Software/Tecn.para la Formación en IS","","","10","","","","10","","","09:00 - 11:30","CC6","","","","","","","","","","",""
"192-LIS4-G2","Obligatoria","Diseño de Software","2","IS(2016)","4","4.5","Regular","7","MEFI","Edgar Antonio","Cambranes Martínez","Ingeniería de Software/Tecn.para la Formación en IS","","","35","","","","35","11:30 - 13:00","CC4","","","09:30 - 11:00","CC8","13:00 - 14:30","CC8","","","","","","",""
"192-LIS4-G3","Obligatoria","Diseño de Software","3","IS(2016)","4","4.5","Regular","7","MEFI","José Luis","López Martínez","Ingeniería de Software/Tecn.para la Formación en IS","","","35","","","","35","11:30 - 13:00","CC1","","","09:30 - 11:00","CC1","13:00 - 14:30","CC4","","","","","","",""
"192-LIS4-G1","Obligatoria","Diseño de Software","1","IS(2016)","4","4.5","Regular","7","MEFI","Juan Pablo","Ucán Pech","Ingeniería de Software/Tecn.para la Formación en IS","","","35","","","","35","11:30 - 13:00","CC3","","","09:30 - 11:00","CC3","13:00 - 14:30","CC3","","","","","","",""
"195-LIS7-Acompañamiento","Obligatoria","Experimentación en Ingeniería de Software","","IS(2016)","7","2.5","Acompañamiento","7","MEFI","Raúl Antonio","Aguilar Vera","Ingeniería de Software/Tecn.para la Formación en IS","","","15","","","","15","","","08:00 - 10:30","CC2","","","","","","","","","","",""
"196-LIS1-Acompañamiento","Obligatoria","Fundamentos de Ingeniería de Software","","IS(2016)","1","2","Acompañamiento","6","MEFI","Leidy Ofelia","Caballero Chi","Ingeniería de Software/Tecn.para la Formación en IS","","","20","","","","20","","","","","","","","","16:30 - 18:30","C3","","","","",""
"197-LIC1-Acompañamiento","Obligatoria","Fundamentos de Programación","","IC(2013)","1","4.5","Regular/Acompañamiento","8","MEFI","Alejandro","Pasos Ruíz","Ingeniería de Software/Tecn.para la Formación en IS","30","","","","","","35","","","13:30 - 15:00","CC8","13:30 - 15:00","CC8","","","13:30 - 15:00","CC8","","","","",""
"199-LCC8","Obligatoria","Gestión de Tecnologías de la Información","","CC(2016)","8","2","Regular","6","MEFI","Emilio Gabriel","Rejón Herrera","Ingeniería de Software/Tecn.para la Formación en IS","","20","","","","","20","17:00 - 19:00","CC5","12:30 - 14:30","CC1","","","","","","","","","","",""
"200-LIS7-Acompañamiento","Obligatoria","Innovación Tecnológica","","IS(2016)","7","2","Acompañamiento","6","MEFI","Emilio Gabriel","Rejón Herrera","Ingeniería de Software/Tecn.para la Formación en IS","","","10","","","","10","","","","","","","11:00 - 13:00","Cubículo","","","","","","",""
"201-LIS6-G1","Obligatoria","Interacción Humano Computadora","1","IS(2016)","6","4.5","Regular","7","MEFI","Edgar Antonio","Cambranes Martínez","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","17:30 - 19:00","H6","12:00 - 13:30","C4","","","15:30 - 17:00","H1","","","","","","",""
"201-LIS6-G2","Obligatoria","Interacción Humano Computadora","2","IS(2016)","6","4.5","Regular","7","MEFI","Víctor Hugo","Menéndez Domínguez","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","17:30 - 19:00","C4","12:00 - 13:30","C10","","","15:30 - 17:00","H6","","","","","","",""
"204-LIS8-G1","Obligatoria","Mantenimiento de Software","1","IS(2016)","8","4.5","Regular","7","MEFI","Antonio Armando","Aguileta Güemez","Ingeniería de Software/Tecn.para la Formación en IS","","","38","","","","38","","","17:30 - 19:00","D3","","","16:00 - 17:30","C3","17:00 - 18:30","CC1","","","","",""
"204-LIS8-G2","Obligatoria","Mantenimiento de Software","2","IS(2016)","8","4.5","Regular","7","MEFI","Edwin Jesús","León Bojórquez","Ingeniería de Software/Tecn.para la Formación en IS","","","38","","","","38","","","17:30 - 19:00","H7","","","16:00 - 17:30","H4","17:00 - 18:30","CC3","","","","",""
"208-LIS6-G1","Obligatoria","Métricas de Software","1","IS(2016)","6","4.5","Regular","7","MEFI","María Enriqueta","Castellanos Bolaños","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","","","15:00 - 16:30","CC4","","","13:30 - 15:00","C7","13:30 - 15:00","C7","","","","",""
"208-LIS6-G2+LIS6-G3+LIS6-G4+LIS6-G5+LIS6-G6+LIS6-G7+LIS6-G8","Obligatoria","Métricas de Software","2","IS(2016)","6","4.5","3","7","MEFI","Edwin Jesús","León Bojórquez","Ingeniería de Software/Tecn.para la Formación en IS","","","40","","","","40","","","15:00 - 16:30","CC8","","","13:30 - 15:00","F3","13:30 - 15:00","D2","","","","",""
"211-","Obligatoria","Prácticas Profesionales","","IS(2016)","8","1.5","Regular","8","MEFI","Luis Ramiro","Basto Díaz","Coord. LIS","","","45","","","","45","","","","","11:00 - 12:30","Cubículo","","","","","","","","",""
"212-LIC2-G1","Obligatoria","Programación","1","IC(2013)","2","4.5","Regular","8","MEFI","Irwing Aarón","Cifuentes González","Ingeniería de Software/Tecn.para la Formación en IS","36","","","","","","36","07:30 - 09:00","CC3","","","","","07:30 - 09:00","CC3","11:30 - 13:00","CC3","","","","",""
"212-LIC2-G2","Obligatoria","Programación","2","IC(2013)","2","4.5","Regular","8","MEFI","Víctor Emanuel","Uc Cetina","Ingeniería de Software/Tecn.para la Formación en IS","36","","","","","","36","07:30 - 09:00","CC1","","","","","07:30 - 09:00","CC1","11:30 - 13:00","CC1","","","","",""
"214-LA5-Acompañamiento","Obligatoria","Programación","","A(2014)","5","1.5","Acompañamiento","6","MEFI","Carlos Benito","Mojica Ruiz","Ingeniería de Software/Tecn.para la Formación en IS","","","","15","","","15","","","17:00 - 18:30","CC2","","","","","","","","","","",""
